Core,Latitude,Longitude,Water depth (m),Annual Averaged SST,A-M-J,J-F-M,J-A-S,O-N-D,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
8311,19.5,114,560,26.4344,27.5721,23.3293,28.6667,26.1695,0.34,0.34,0,18.99,18.99,2.81,0,0,8.52,0.09,0,1.96,3.02,8.26,1.15,0.13,1.32,0,0,0,0,12.61,2.56,0.04,3.75,0.3,0,0.3,0.3,0,0,0,1.96,0,3.49,0,0,3.49,0,28.07,0,0,0,0,0,0,100
8312,19.5,115,1640,26.4959,27.5178,23.6272,28.6734,26.1651,0.57,0.81,0,10.45,10.45,1.62,0,0,10.12,0,0,1.62,1.3,12.39,0.65,0.24,0,0,0,0,0,9.15,0.81,0.08,9.15,0,0,0,0,0,0,0,0.16,0,4.78,0,0,4.78,0,36.11,0,0,0,0,0,0,100
8313,19.5,116,1937,26.5305,27.4556,23.6891,28.7514,26.2262,0.86,1.3,0,10.15,10.15,0.65,0,0,9.07,0.11,0,1.94,0.97,16.85,1.19,0.32,0.22,0,0,0,0,8.86,0.65,0.54,9.94,0,0,0.22,0.22,0,0,0,0.22,0,3.46,0,0,3.46,0,32.51,0,0,0,0,0,0,100
8321,18,110.98,1200,26.6521,27.861,24.0105,28.75,25.9869,0.53,0.46,0,20.82,20.82,4.71,0,0,11.78,0,0,1.22,1.37,9.19,2.13,0.53,0.53,0,0,0,0,8.66,1.29,0.84,4.79,0,0,0,0,0,0,0.15,0.91,0,1.9,0.08,0,1.98,0,28.12,0,0,0,0,0,0,100
8322,18,113.98,2412,26.8723,28.2598,24.0798,28.7445,26.4052,0.95,0.95,0,7.09,7.09,0,0,0,6.14,0.55,0,2.32,1.23,11.46,0.27,0.55,0,0,0,0,0,6.82,0.55,0.14,11.05,0,0,0,0,0,0,0,0,0,10.64,0,0,10.64,0,39.29,0,0,0,0,0,0,100
8323,18.02,113,2050,26.8448,28.1775,24.0175,28.9037,26.2805,0.97,0.55,0,9.61,9.61,1.45,0,0,10.99,0.28,0,3.87,0.9,9.12,0.55,0.28,0.14,0,0,0,0,9.19,0.28,1.04,13.2,0,0,0.83,0.83,0,0,0.14,0.14,0,8.64,0,0,8.64,0,27.85,0,0,0,0,0,0,100
8324,18,113.98,3242,26.8723,28.2598,24.0798,28.7445,26.4052,0,0.88,0,2.65,2.65,0,0,0,2.65,0.88,0,0.88,0,1.77,0,0.88,0,0,0,0,0,8.85,0.88,0,31.86,0.88,0,0,0,0,0,0,0,0,34.51,0,0,34.51,0,12.39,0,0,0,0,0,0,100
8331,16.5,110.98,1163,27.1902,28.643,24.6316,29.1749,26.3113,0.32,0.76,0,24.37,24.37,3.35,0,0,14.49,0,0,1.96,1.46,7.22,1.01,0.13,0.19,0,0,0,0,7.28,0.51,0,3.86,0,0,0.63,0.63,0,0,0.06,0.25,0,3.8,0,0,3.8,0,28.35,0,0,0,0,0,0,100
8332,16.67,111.98,910,27.1919,28.5792,24.7212,28.9166,26.5505,0.85,0.85,0,24.4,24.4,4.81,0,0,11.45,0.07,0,2.54,4.68,4.62,0.91,0.13,2.86,0,0,0,0,9.04,1.11,0.13,3.77,0,0,0.72,0.72,0,0,0,2.08,0,3.45,0,0,3.45,0,21.54,0,0,0,0,0,0,100
8333,16.5,113,1244,27.2726,28.5806,24.8901,28.8544,26.7653,1.03,1.46,0,23.29,23.29,4.65,0,0,13.15,0.23,0,3.38,4.23,4.18,1.22,0.05,4.04,0,0,0,0,8.64,1.03,0.38,3,0.28,0,0.61,0.61,0.05,0,0.05,0.99,0,4.41,0.05,0,4.46,0,19.62,0,0,0,0,0,0,100
